Results,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
Initial,0.7563739376770539,0.3565217391304348,0.7735849056603774,0.8511006289308176,0.5175007619274735,0.1106777191162109
Initial,0.8016997167138811,0.4086021505376344,0.7169811320754716,0.86,0.641581766345967,0.1025199890136718
Initial,0.7790368271954674,0.3493975903614458,0.5471698113207547,0.7889622641509434,0.4606835531806526,0.104579210281372
Initial,0.7507082152974505,0.365079365079365,0.8518518518518519,0.8592840331970766,0.5590597262392196,0.1092302799224853
Initial,0.7556818181818182,0.3457943925233644,0.6981132075471698,0.8450810879030731,0.5949869159697642,0.0973238945007324
Final,0.7450424929178471,0.3391304347826087,0.7358490566037735,0.8561949685534591,0.5078611683039908,0.08831501007080078
Final,0.8413597733711048,0.4823529411764706,0.7735849056603774,0.8954088050314466,0.6702270734301418,0.08888864517211914
Final,0.8130311614730878,0.43434343434343436,0.8113207547169812,0.8867610062893082,0.6346819958755925,0.1144254207611084
Final,0.7960339943342776,0.4166666666666667,0.8333333333333334,0.8796605970519015,0.5978996997805972,0.09978246688842773
Final,0.7982954545454546,0.41,0.7735849056603774,0.8766959045876191,0.6248933691314431,0.09229564666748047
