Results,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
Initial,0.830028328611898,0.4507042253521127,0.6037735849056604,0.7868238993710693,0.4811046145650109,0.0996768474578857
Initial,0.8045325779036827,0.4130434782608695,0.7169811320754716,0.8379245283018868,0.6007726521975968,0.1000211238861084
Initial,0.7648725212464589,0.3660714285714285,0.7735849056603774,0.8547169811320755,0.6264782031214081,0.0752265453338623
Initial,0.6628895184135978,0.2357723577235772,0.5370370370370371,0.725473801560758,0.3550354866069308,0.1119074821472168
Initial,0.8153409090909091,0.4117647058823529,0.5283018867924528,0.6954313119202372,0.4742281325592525,0.0808980464935302
Final,0.7790368271954674,0.38738738738738737,0.8113207547169812,0.8802830188679246,0.6165399026574221,0.23009300231933594
Final,0.8016997167138811,0.41904761904761906,0.8301886792452831,0.9120125786163522,0.7247905207695199,0.22710132598876953
Final,0.7903682719546742,0.39805825242718446,0.7735849056603774,0.8639622641509435,0.6368781765275154,0.22516751289367676
Final,0.7705382436260623,0.3783783783783784,0.7777777777777778,0.8578285643503035,0.5215243642775556,0.2185225486755371
Final,0.8068181818181818,0.4175824175824176,0.7169811320754716,0.8635388401590206,0.6454658519081512,0.2145092487335205
