Model,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
DummyClassifier,0.48441926345609065,0.12280701754385964,0.39622641509433965,0.4481132075471699,0.13931094238348557,0.08634424209594727
DummyClassifier,0.5070821529745042,0.14619883040935672,0.4716981132075472,0.49251572327044024,0.14828182577169136,0.10644984245300293
DummyClassifier,0.49008498583569404,0.1286549707602339,0.41509433962264153,0.4592138364779874,0.14122264701074225,0.06675243377685547
DummyClassifier,0.509915014164306,0.15204678362573099,0.48148148148148145,0.4982658243527809,0.1525278239490588,0.08804845809936523
DummyClassifier,0.5227272727272727,0.16374269005847952,0.5283018867924528,0.5250205086136177,0.15752829937909382,0.1047658920288086
LogisticRegression,0.7563739376770539,0.3565217391304348,0.7735849056603774,0.8511006289308176,0.5175007619274735,0.11067771911621094
LogisticRegression,0.8016997167138811,0.40860215053763443,0.7169811320754716,0.86,0.641581766345967,0.10251998901367188
LogisticRegression,0.7790368271954674,0.3493975903614458,0.5471698113207547,0.7889622641509434,0.4606835531806526,0.10457921028137207
LogisticRegression,0.7507082152974505,0.36507936507936506,0.8518518518518519,0.8592840331970766,0.5590597262392196,0.10923027992248535
LogisticRegression,0.7556818181818182,0.34579439252336447,0.6981132075471698,0.8450810879030731,0.5949869159697642,0.09732389450073242
DecisionTreeClassifier,0.6940509915014165,0.2900763358778626,0.7169811320754716,0.7034905660377357,0.2504721775330402,0.06246495246887207
DecisionTreeClassifier,0.6912181303116147,0.291044776119403,0.7358490566037735,0.7095911949685534,0.253825080594143,0.09948515892028809
DecisionTreeClassifier,0.7280453257790368,0.30275229357798167,0.6226415094339622,0.6904402515723269,0.24805827046745538,0.08917880058288574
DecisionTreeClassifier,0.7195467422096318,0.32,0.7407407407407407,0.7282299021429455,0.2766970936942608,0.10236263275146484
DecisionTreeClassifier,0.6960227272727273,0.28225806451612906,0.660377358490566,0.681359247807156,0.2375331986941847,0.09662508964538574
KNNClassifier,0.7478753541076487,0.3548387096774194,0.8301886792452831,0.8353773584905659,0.4025853842193156,0.10239768028259277
KNNClassifier,0.7818696883852692,0.38461538461538464,0.7547169811320755,0.8241194968553459,0.4207387936711852,0.09802508354187012
KNNClassifier,0.7053824362606232,0.2857142857142857,0.6415094339622641,0.7216666666666667,0.31016106820461803,0.1253519058227539
KNNClassifier,0.7053824362606232,0.3188405797101449,0.8148148148148148,0.827975969280317,0.43811372967175755,0.11339879035949707
KNNClassifier,0.7528409090909091,0.35344827586206895,0.7735849056603774,0.8253928188300625,0.46077091641255463,0.11389303207397461
SVC,0.7875354107648725,0.4,0.8301886792452831,0.8739937106918239,0.5262223052434332,0.10031247138977051
SVC,0.7790368271954674,0.3853211009174312,0.7924528301886793,0.8706918238993712,0.653343600400302,0.10575366020202637
SVC,0.7790368271954674,0.35294117647058826,0.5660377358490566,0.7802201257861636,0.37122410387622856,0.12130904197692871
SVC,0.7365439093484419,0.3533834586466165,0.8703703703703703,0.8776786820265081,0.5528739318741533,0.11168861389160156
SVC,0.7357954545454546,0.3333333333333333,0.7547169811320755,0.8610462548116362,0.5491889918022197,0.12064766883850098
ExtraTreesClassifier,0.773371104815864,0.3865546218487395,0.8679245283018868,0.8420440251572326,0.47855757044740416,0.25835299491882324
