Model,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
DummyClassifier,0.48441926345609065,0.12280701754385964,0.39622641509433965,0.4481132075471699,0.13931094238348557,0.09563136100769043
DummyClassifier,0.5070821529745042,0.14619883040935672,0.4716981132075472,0.49251572327044024,0.14828182577169136,0.09360480308532715
DummyClassifier,0.49008498583569404,0.1286549707602339,0.41509433962264153,0.4592138364779874,0.14122264701074225,0.07598400115966797
DummyClassifier,0.509915014164306,0.15204678362573099,0.48148148148148145,0.4982658243527809,0.1525278239490588,0.10320520401000977
DummyClassifier,0.5227272727272727,0.16374269005847952,0.5283018867924528,0.5250205086136177,0.15752829937909382,0.06931805610656738
LogisticRegression,0.830028328611898,0.4507042253521127,0.6037735849056604,0.7868238993710693,0.4811046145650109,0.09967684745788574
LogisticRegression,0.8045325779036827,0.41304347826086957,0.7169811320754716,0.8379245283018868,0.6007726521975968,0.1000211238861084
LogisticRegression,0.7648725212464589,0.36607142857142855,0.7735849056603774,0.8547169811320755,0.6264782031214081,0.0752265453338623
LogisticRegression,0.6628895184135978,0.23577235772357724,0.5370370370370371,0.725473801560758,0.35503548660693085,0.1119074821472168
LogisticRegression,0.8153409090909091,0.4117647058823529,0.5283018867924528,0.6954313119202372,0.47422813255925256,0.08089804649353027
DecisionTreeClassifier,0.623229461756374,0.24358974358974358,0.7169811320754716,0.660880503144654,0.21714216796797373,0.1071774959564209
DecisionTreeClassifier,0.6997167138810199,0.30656934306569344,0.7924528301886793,0.7378930817610063,0.2741032166493116,0.08045721054077148
DecisionTreeClassifier,0.6940509915014165,0.2868217054263566,0.6981132075471698,0.701761006289308,0.24820007702915864,0.08804869651794434
DecisionTreeClassifier,0.6798866855524079,0.24786324786324787,0.5370370370370371,0.6207110120153599,0.20508078900430177,0.07783770561218262
DecisionTreeClassifier,0.7244318181818182,0.30701754385964913,0.660377358490566,0.685555625670474,0.255678023345831,0.0833749771118164
KNNClassifier,0.6912181303116147,0.27049180327868855,0.6226415094339622,0.7143710691823899,0.29928946206016993,0.2267625331878662
KNNClassifier,0.7592067988668555,0.35964912280701755,0.7735849056603774,0.8270754716981132,0.4459730593467154,0.20155739784240723
KNNClassifier,0.7393767705382436,0.34146341463414637,0.7924528301886793,0.8355974842767295,0.42978693148562613,0.2003030776977539
KNNClassifier,0.7337110481586402,0.3113207547169811,0.6111111111111112,0.7123745819397993,0.288117873055725,0.15917611122131348
KNNClassifier,0.7357954545454546,0.32142857142857145,0.6792452830188679,0.7536757745945606,0.403691754671481,0.20060396194458008
SVC,0.7365439093484419,0.3181818181818182,0.660377358490566,0.7916666666666666,0.42074343498460076,0.18715214729309082
SVC,0.7677053824362606,0.36936936936936937,0.7735849056603774,0.8645911949685535,0.5974000245155743,0.13995575904846191
SVC,0.7762039660056658,0.38392857142857145,0.8113207547169812,0.8741509433962265,0.6477004801225678,0.1894211769104004
SVC,0.773371104815864,0.34146341463414637,0.5185185185185185,0.7220054502663198,0.3458736709118602,0.17840957641601562
