one_hot__Education_2n Cycle,one_hot__Education_Basic,one_hot__Education_Graduation,one_hot__Education_Master,one_hot__Education_PhD,one_hot__Marital_Status_Partner,one_hot__Marital_Status_Single,one_hot__AgeGroup_18-30,one_hot__AgeGroup_31-45,one_hot__AgeGroup_46-60,one_hot__AgeGroup_61+,one_hot__Children_0,one_hot__Children_1,one_hot__Children_2,one_hot__Children_3,one_hot__HasChildren_0,one_hot__HasChildren_1,one_hot__Complain_0,one_hot__Complain_1,one_hot__Years_Since_Enrolled_0,one_hot__Years_Since_Enrolled_1,one_hot__AcceptedCmpTotal_0,one_hot__AcceptedCmpTotal_1,one_hot__AcceptedCmpTotal_2,one_hot__AcceptedCmpTotal_3,one_hot__AcceptedCmpTotal_4,one_hot__HasAcceptedCmp_0,one_hot__HasAcceptedCmp_1,one_hot__Response_0,one_hot__Response_1,standard__Income,standard__Age,min_max__Recency,min_max__Days_Since_Enrolled,power__NumDealsPurchases,power__NumWebVisitsMonth,power__NumTotalPurchases,power__MntRegularProds,power__MntGoldProds,power__MntTotal
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3146508552517786,1.017188722770664,0.5858585858585859,0.9484978540772532,0.753752271983515,0.7002688403755518,1.2211740366760024,1.3107051009988202,1.0890459397370285,1.3155434765413883
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.25487740891904376,1.2735300462926245,0.38383838383838387,0.16165951359084407,0.16083423197548627,-0.10841691088905724,-1.3194378431885683,-1.4539239568106574,-0.9474971660906161,-1.4471531685740742
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9653540398966685,0.33361186004543597,0.26262626262626265,0.44635193133047213,-0.8385568119359614,-0.5273895587203824,1.0253878596236465,0.687963973979971,0.4429965950411447,0.6585068146595754
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.2060871551999373,-1.2898831889269806,0.26262626262626265,0.1988555078683834,0.16083423197548627,0.3002400492754578,-0.8775887223665132,-1.066232051100782,-1.0524638485740658,-1.123213530208676
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3221357527374898,-1.0335418654050201,0.9494949494949496,0.23032904148783978,1.4537785660392124,-0.10841691088905724,0.3568754813127242,0.23879902159477123,-0.3509323414336382,0.1750647391774757
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.525918122993626,0.16271764436412897,0.16161616161616163,0.41917024320457796,0.16083423197548627,0.3002400492754578,1.0253878596236465,0.6524802472319782,-0.39962176052881593,0.5915823797731741
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.19378183327284285,-0.17907078699848503,0.3434343434343435,0.8483547925608012,1.1569644538252262,0.3002400492754578,0.7085783950754823,0.4805810157777338,0.08711741160070216,0.43449713850121086
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8773311417630237,-1.375330296767634,0.32323232323232326,0.5965665236051502,0.16083423197548627,1.0929039059418435,-0.5090170986674948,-0.44561794607744437,-0.036438018788060876,-0.45863976690499497
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0271739604608414,-0.43541211052044554,0.19191919191919193,0.5550786838340487,-0.8385568119359614,1.479085370323595,-1.0869819780791359,-1.1098878554666902,-1.501629237957309,-1.1948727830693557
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.2200734610384085,1.6153184776552385,0.686868686868687,0.15450643776824036,-0.8385568119359614,5.443087619878585,-2.273746498828667,-1.2079841349906164,-0.4512645432705002,-1.1631543070141306
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.1306410084994596,-0.6063063262017525,0.595959595959596,0.8483547925608012,-0.8385568119359614,1.0929039059418435,-1.0869819780791359,-1.0986779842699026,-0.3048577916677502,-1.0501342231067954
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5510287468166569,0.846294507089357,0.8282828282828284,0.32331902718168815,-0.8385568119359614,-1.407396552291016,0.47861793889283977,1.000101700970735,0.1699351519790402,0.9616758467286434
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.37337108326871266,1.4444242619739316,0.5353535353535354,0.32331902718168815,0.753752271983515,0.3002400492754578,0.09727075258466694,0.013675177165206281,-0.39962176052881593,-0.05031125353601694
