Education,Marital_Status,HasChildren,AgeGroup,Income,Recency,Complain,Days_Since_Enrolled,Years_Since_Enrolled,NumDealsPurchases,NumWebVisitsMonth,NumTotalPurchases,MntRegularProds,MntGoldProds,MntTotal,AcceptedCmpTotal,HasAcceptedCmp,Response
Graduation,Single,0,46-60,58138.0,58,0,663,1,3,7,22,1529,88,1617,0,0,1
Graduation,Single,1,46-60,46344.0,38,0,113,0,2,5,4,21,6,27,0,0,0
Graduation,Partner,0,46-60,71613.0,26,0,312,0,1,4,20,734,42,776,0,0,0
Graduation,Partner,1,18-30,26646.0,26,0,139,0,2,6,6,48,5,53,0,0,0
PhD,Partner,1,31-45,58293.0,94,0,161,0,5,5,14,407,15,422,0,0,0
Master,Partner,1,46-60,62513.0,16,0,293,0,2,6,20,702,14,716,0,0,0
Graduation,Single,1,31-45,55635.0,34,0,593,1,4,6,17,563,27,590,0,0,0
PhD,Partner,1,18-30,33454.0,32,0,417,1,2,8,8,146,23,169,0,0,0
PhD,Partner,1,31-45,30351.0,19,0,388,1,1,9,5,44,2,46,0,0,1
PhD,Partner,1,61+,5648.0,68,0,108,0,1,20,1,36,13,49,1,1,0
Basic,Partner,0,31-45,7500.0,59,0,593,1,1,8,5,45,16,61,0,0,0
Graduation,Single,0,46-60,63033.0,82,0,226,0,1,2,15,1072,30,1102,0,0,0
Master,Single,1,61+,59354.0,53,0,226,0,3,6,12,296,14,310,0,0,0
Graduation,Partner,0,18-30,17323.0,38,0,627,1,1,8,4,41,5,46,0,0,0
PhD,Single,0,61+,82800.0,23,0,582,1,1,3,25,1270,45,1315,2,1,1
Graduation,Partner,1,31-45,41850.0,51,0,552,1,3,8,6,92,4,96,0,0,0
Graduation,Partner,0,61+,37760.0,20,0,667,1,2,7,11,289,28,317,0,0,0
Master,Partner,1,61+,76995.0,91,0,458,1,2,5,24,1606,176,1782,1,1,0
2n Cycle,Single,1,18-30,33812.0,86,0,603,1,2,6,6,94,39,133,0,0,0
Graduation,Partner,0,31-45,37040.0,41,0,690,1,1,8,11,268,48,316,0,0,0
Graduation,Partner,1,31-45,2447.0,42,0,539,1,15,1,28,1729,1,1730,0,0,0
PhD,Partner,1,61+,58607.0,63,0,553,1,3,8,14,953,19,972,1,1,0
PhD,Partner,1,46-60,65324.0,0,0,169,0,3,4,17,539,5,544,0,0,0
Graduation,Partner,1,61+,40689.0,69,0,468,1,7,8,13,345,99,444,0,0,0
Graduation,Single,0,31-45,18589.0,89,0,543,1,2,7,6,62,13,75,0,0,0
Graduation,Partner,1,31-45,53359.0,4,0,398,1,4,7,10,216,41,257,0,0,0
Graduation,Partner,1,18-30,38360.0,26,0,394,1,2,3,7,121,10,131,0,0,0
PhD,Partner,0,46-60,84618.0,96,0,219,0,1,2,25,1672,0,1672,1,1,0
Master,Single,0,18-30,10979.0,34,0,38,0,2,5,6,26,4,30,0,0,0
Master,Partner,0,46-60,38620.0,56,0,414,1,1,3,10,229,89,318,0,0,0
Graduation,Partner,1,31-45,40548.0,31,0,627,1,2,5,7,117,3,120,1,1,0
PhD,Single,1,61+,46610.0,8,0,608,1,6,6,11,259,43,302,0,0,1
Master,Partner,0,61+,68657.0,4,0,494,1,1,7,17,1174,22,1196,0,0,0
